order	vincode	pts_ref	gender	bu-bni-corr	pali_name	english_name	offence_type_pali	offence_type_eng	offence_grades	chapter_theme	chapter	vagga	theme	topic	purpose	critics	rule_pali	rule_english	no_offense_factors	offense_factors_bmc	notes	formulas bmc 1	sangha acts	useful_texts	suttacentral
229	BNI-SS12	Vin.4.223-4.242	Nuns		Saṁsaṭṭhā	Socializing 	Sanghadisesa	Suspension 	Full/ grave offense/ wrong doing 				Discipline 	Sangha act 	Sangha harmony 	Bhikkhunis 	Bhikkhuniyo paneva saṁsaṭṭhā viharanti pāpācārā pāpasaddā pāpasilokā, bhikkhunisaṅghassa vihesikā, aññamaññissā vajjappaṭicchādikā. Tā bhikkhuniyo bhikkhunīhi evamassu vacanīyā— ‘bhaginiyo kho saṁsaṭṭhā viharanti pāpācārā pāpasaddā pāpasilokā, bhikkhunisaṅghassa vihesikā aññamaññissā vajjappaṭicchādikā. Viviccathāyye. Vivekaññeva bhaginīnaṁ saṅgho vaṇṇetī’ti. Evañca tā bhikkhuniyo bhikkhunīhi vuccamānā tatheva paggaṇheyyuṁ, tā bhikkhuniyo bhikkhunīhi yāvatatiyaṁ samanubhāsitabbā tassa paṭinissaggāya. Yāvatatiyañce samanubhāsīyamānā taṁ paṭinissajjeyyuṁ, iccetaṁ kusalaṁ; no ce paṭinissajjeyyuṁ, imāpi bhikkhuniyo yāvatatiyakaṁ dhammaṁ āpannā nissāraṇīyaṁ saṅghādisesan”ti	If nuns socialize, behave badly, have a bad reputation, are notorious, harass the Sangha of nuns, and hide each other’s offenses, then the nuns should correct them like this: “Sisters, you socialize, behave badly, have a bad reputation, are notorious, harass the Sangha of nuns, and hide each other’s offenses. Be secluded, Venerables. The Sangha praises seclusion for the Sisters.” If those nuns still continue as before, the nuns should press them up to three times to make them stop. If they then stop, all is well. If they do not stop, then after the third announcement those nuns too have committed an offense entailing sending away and suspension	if they have not been pressed; if they stop; if they are insane; if they are the first offenders.		Socialize: they socialize with improper bodily and verbal action. Harass the Sangha of nuns: they object on each other’s behalf when a legal procedure is being carried out against them	Please, Venerables, I ask the Sangha to listen. The nuns so-and-so and so-and-so socialize, behave badly, have a bad reputation, are notorious, harass the Sangha of nuns, and hide each other’s offenses. And they keep on doing it. If the Sangha is ready, it should press them to make them stop. This is the motion.  Please, Venerables, I ask the Sangha to listen. The nuns so-and-so and so-and-so socialize, behave badly, have a bad reputation, are notorious, harass the Sangha of nuns, and hide each other’s offenses. And they keep on doing it. The Sangha presses them to make them stop. Any nun who approves of pressing the nuns so-and-so and so-and-so to make them stop should remain silent. Any nun who doesn’t approve should speak up.  For the second time I speak on this matter … For the third time I speak on this matter …  The Sangha has pressed the nuns so-and-so and so-and-so to stop. The Sangha approves and is therefore silent. I’ll remember it thus.	Motion + 3 proclamation 		https://suttacentral.net/pli-tv-bi-vb-ss?view=dense
230	BNI-SS13	Vin.4.223-4.242	Nuns		Saṁsaṭṭhānuvattaka	Siding with Socializing 	Sanghadisesa	Suspension 	Full/ grave offense/ wrong doing 				Discipline 	Sangha act 	Sangha harmony 	Bhikkhunis 	Yā pana bhikkhunī evaṁ vadeyya— ‘saṁsaṭṭhāva, ayye, tumhe viharatha. Mā tumhe nānā viharittha. Santi saṅghe aññāpi bhikkhuniyo evācārā evaṁsaddā evaṁsilokā, bhikkhunisaṅghassa vihesikā, aññamaññissā vajjappaṭicchādikā. Tā saṅgho na kiñci āha. Tumhaññeva saṅgho uññāya paribhavena akkhantiyā vebhassiyā dubbalyā evamāha— bhaginiyo kho saṁsaṭṭhā viharanti pāpācārā pāpasaddā pāpasilokā, bhikkhunisaṅghassa vihesikā, aññamaññissā vajjappaṭicchādikā. Viviccathāyye. Vivekaññeva bhaginīnaṁ saṅgho vaṇṇetī’ti. Sā bhikkhunī bhikkhunīhi evamassa vacanīyā— ‘mā, ayye, evaṁ avaca— saṁsaṭṭhāva, ayye, tumhe viharatha. Mā tumhe nānā viharittha. Santi saṅghe aññāpi bhikkhuniyo evācārā evaṁsaddā evaṁsilokā, bhikkhunisaṅghassa vihesikā, aññamaññissā vajjappaṭicchādikā. Tā saṅgho na kiñci āha. Tumhaññeva saṅgho uññāya paribhavena akkhantiyā vebhassiyā dubbalyā evamāha— bhaginiyo kho saṁsaṭṭhā viharanti pāpācārā pāpasaddā pāpasilokā, bhikkhunisaṅghassa vihesikā, aññamaññissā vajjappaṭicchādikā. Viviccathāyye. Vivekaññeva bhaginīnaṁ saṅgho vaṇṇetī’ti. Evañca sā bhikkhunī bhikkhunīhi vuccamānā tatheva paggaṇheyya, sā bhikkhunī bhikkhunīhi yāvatatiyaṁ samanubhāsitabbā tassa paṭinissaggāya. Yāvatatiyañce samanubhāsīyamānā taṁ paṭinissajjeyya, iccetaṁ kusalaṁ; no ce paṭinissajjeyya, ayampi bhikkhunī yāvatatiyakaṁ dhammaṁ āpannā nissāraṇīyaṁ saṅghādisesan”ti	‘If a nun says, “Venerables, you should socialize. Don’t live separately. There are other nuns in the Sangha who have such behavior, reputation, and notoriety, and who harass the Sangha of nuns and hide each other’s offenses. The Sangha says nothing to them. It’s because of disrespect, contempt, impatience, and slander, and because you are weak that the Sangha says to you, ‘Sisters, you socialize, behave badly, have a bad reputation, are notorious, harass the Sangha of nuns, and hide each other’s offenses. Be secluded, Venerables. The Sangha praises seclusion for the Sisters,’” then the nuns should correct her like this: “Venerable, don’t say such things: ‘Venerables, you should socialize. Don’t live separately. There are other nuns in the Sangha who have such behavior, reputation, and notoriety, and who harass the Sangha of nuns and hide each other’s offenses. The Sangha says nothing to them. It’s because of disrespect, contempt, impatience, and slander, and because you are weak that the Sangha says to you, “Sisters, you socialize, behave badly, have a bad reputation, are notorious, harass the Sangha of nuns, and hide each other’s offenses. Be secluded, Venerables. The Sangha praises seclusion for the Sisters.”’” If that nun continues as before, the nuns should press her up to three times to make her stop. If she then stops, all is well. If she does not stop, then after the third announcement that nun too has committed an offense entailing sending away and suspension	if she has not been pressed; if she stops; if she is insane; if she is the first offender			Please, Venerables, I ask the Sangha to listen. The nun so-and-so, after being pressed by the Sangha, says this to the nuns, “Venerables, you should socialize. Don’t live separately. There are other nuns in the Sangha who have such behavior, reputation, and notoriety, and who harass the Sangha of nuns and hide each other’s offenses. The Sangha says nothing to them. It’s because of disrespect, contempt, impatience, and slander, and because you are weak that the Sangha says to you, ‘Sisters, you socialize, behave badly, have a bad reputation, are notorious, harass the Sangha of nuns, and hide each other’s offenses. Be secluded, Venerables. The Sangha praises seclusion for the Sisters.’” And she keeps on saying it. If the Sangha is ready, it should press her to make her stop. This is the motion.  Please, Venerables, I ask the Sangha to listen. The nun so-and-so, after being pressed by the Sangha, says this to the nuns, “Venerables, you should socialize. Don’t live separately. There are other nuns in the Sangha who have such behavior, reputation, and notoriety, and who harass the Sangha of nuns and hide each other’s offenses. The Sangha says nothing to them. It’s because of disrespect, contempt, impatience, and slander, and because you are weak that the Sangha says to you, ‘Sisters, you socialize, behave badly, have a bad reputation, are notorious, harass the Sangha of nuns, and hide each other’s offenses. Be secluded, Venerables. The Sangha praises seclusion for the Sisters.’” And she keeps on saying it. The Sangha presses her to make her stop. Any nun who approves of pressing her to make her stop should remain silent. Any nun who doesn’t approve should speak up.  For the second time I speak on this matter … For the third time I speak on this matter …  The Sangha has pressed nun so-and-so to stop. The Sangha approves and is therefore silent. I’ll remember it thus.	Motion + 3 proclamation 		https://suttacentral.net/pli-tv-bi-vb-ss?view=dense
231	BNI-14	Vin.4.223-4.242	Nuns	BU-SS10	Saṅghabheda	Schism in the Saṅgha	Sanghadisesa	Suspension 	Full/ grave offense/ wrong doing 		3  admonitions		Harmony 	Schism 	Sangha harmony 	Buddha Rule	yo pana bhikkhu samaggassa saṅghassa bhedāya parakkameyya, bhedanasaṃvattanikaṃ vā adhikaraṇaṃ samādāya paggayha tiṭṭheyya, so bhikkhu bhikkhūhi evamassa vacanīyo "māyasmā samaggassa saṅghassa bhedāya parakkami, bhedanasaṃvattanikaṃ vā adhikaraṇaṃ samādāya paggayha aṭṭhāsi, sametāyasmā saṅghena, samaggo hi saṅgho sammodamāno avivadamāno ekuddeso phāsu viharatī"ti, evañca so bhikkhu bhikkhūhi vuccamāno tatheva paggaṇheyya, so bhikkhu bhikkhūhi yāvatatiyaṃ samanubhāsitabbo tassa paṭinissaggāya, yāvatatiyañce samanubhāsiyamāno taṃ paṭinissajjeyya, iccetaṃ kusalaṃ, no ce paṭinissajjeyya, saṅghādiseso	Whatever bhikkhu who makes an effort to produce a schism of the Sangha when it is in unity and having taken up a view that would lead to schism in the Sangha should support and persist with it then that bhikkhu should be spoken to by bhikkhus saying: "Venerable Sir, do not make an effort to produce a schism of the Sangha when it is in unity, or take up, support or persist with a view that would lead to schism in the Sangha.  Be united with the Sangha, Venerable Sir, because a Sangha that is united, in agreement, without disputes and which recites the Patimokkha together, lives happily." If while being spoken to by bhikkhus thus that bhikkhu persists with that view then he should be admonished up to three times by bhikkhus in order to cause him to give up that view.  If while being admonished up to three times he gives up that view then that is good, but if he does not give it up then it is a sanghadisesa offence.	 if he has not been admonished, if he gives it up, if he is mad, out of his mind, in pain, a beginner	1. Effort to make a schism  2. Being admonished  in legal Vinaya kamma  3. Completion of kamma-vàca  4. He does not give up effort and attitude	schism is a serious division in the Community. 5  criteria: 1) The Community is originally united, 2) at least nine bhikkhus. 3) dispute over any of eighteen grounds for a creating a schism, 4) at least four bhikkhus on either side, 5)  the two sides conduct separate Pāṭimokkha recitations, Invitation ceremonies, or other Community transactions within the same territory.  Once a bhikkhu has succeeded in binding together a group  the Community will have trouble achieving unanimity in rebuking him.  one's aim in expounding the Dhamma and Vinaya should never be to create a faction.    the bhikkhus see or hear of a bhikkhu who has begun or persists in schism, it is their duty to reprimand him three time.   1 step going to him in person, 2 take him into the midst of a formal meeting of the Community, 3  recite a formal rebuke.    the Buddha advises bhikkhus to abandon controversial behavior and to yield to the mandate of the Community even if it seems unjust		Motion + 3 proclamation 	SN 45:2,  AN V.129,   A bilateral schism, vote from everyone to take side Mv 10,   An  unilateral schism, the schismatic group meets on its own, announces that it has separated from the other bhikkhus in the same territory Cv 7.   Cv 7 5.3-6 .   Mv 3 6-9. suspending see BMC2, Chapter 20	https://suttacentral.net/pli-tv-bu-vb-ss?view=normal
232	BNI-15	Vin.4.223-4.242	Nuns	BU-SS11	Bhedānuvattaka	Schismatic Followers 	Sanghadisesa	Suspension 	Full/ grave offense/ wrong doing 		3  admonitions		Harmony 	Schism 	Sangha harmony 	Bhikkhus 	tasseva kho pana bhikkhussa bhikkhū honti anuvattakā vaggavādakā eko vā dve vā tayo vā, te evaṃ vadeyyuṃ "māyasmanto etaṃ bhikkhuṃ kiñci avacuttha, dhammavādī ceso bhikkhu, vinayavādī ceso bhikkhu, amhākañceso bhikkhu chandañca ruciñca ādāya voharati, jānāti, no bhāsati, amhākampetaṃ khamatī"ti, te bhikkhū bhikkhūhi evamassu vacanīyā "māyasmanto evaṃ avacuttha, na ceso bhikkhu dhammavādī, na ceso bhikkhu vinayavādī, māyasmantānampi saṅghabhedo ruccittha, sametāyasmantānaṃ saṅghena, samaggo hi saṅgho sammodamāno avivadamāno ekuddeso phāsu viharatī"ti, evañca te bhikkhū bhikkhūhi vuccamānā tatheva paggaṇheyyuṃ, te bhikkhū bhikkhūhi yāvatatiyaṃ samanubhāsitabbā tassa paṭinissaggāya, yāvatatiyañce samanubhāsiyamānā taṃ paṭinissajjeyyuṃ, iccetaṃ kusalaṃ, no ce paṭinissajjeyyuṃ, saṅghādiseso.	If that bhikkhu has bhikkhus who are his followers and fellow schismatics,whether one or two or three and they should say: "Venerable Sirs, do not say anything to that bhikkhu for that bhikkhu speaks in accordance with Dhamma and Vinaya, he expresses our desires and liking, he speaks knowing our desires and liking and we also approve of what he is doing." Then those bhikkhus should be spoken to by bhikkhus saying: "Venerable Sirs, do not speak like that for that bhikkhu does not speak Dhamma or Vinaya.  Vener-able Sirs, do not approve of making a schism  of the Sangha.  Venerable Sirs, be united with the Sangha because a Sangha that is united, in agreement, without disputes and which recites the Patimokkha together, lives happily." If while being spoken to by bhikkhus thus those bhikkhus persist with that view then they should be admonished up to three times by bhikkhus in order to cause them to give up that view.  If while being admonished up to three times they give up that view then that is good, but if they do not give it up then it is a sanghadisesa offence.	if they have not been admonished, if they give it up, if they are mad, out of their minds, in pain, beginners.	1. Supporting the schismatic  2. Being admonished in legal Vinaya-kamma  3. Completion of kamma-vàca  4. He does not give up effort and attitude	This rule and the previos one are designed to prevent behavior in the bud before they can become schismatic. If the schismatic mentioned in the preceding rule begins to attract adherents, they are to be treated under this rule — and quickly, before the schismatic gains a fourth adherent because 1 One Community cannot impose a penalty on another Community (four or more bhikkhus) in any one transaction (Mv.IX.2). 2) Penalties of this sort may be imposed only with the unanimous agreement of all the bhikkhus present in the meeting		Motion + 3 proclamation 	dispute becomes major issue the procedures given in Cv 4 14.16-26, BMC 1 chapter 11.  schism already occur  BMC2, Chapter 21.  Mv 9 2 	https://suttacentral.net/pli-tv-bu-vb-ss?view=normal
233	BNI-16	Vin.4.223-4.242	Nuns	BU-SS12	Dubbaca	Difficult to Correct	Sanghadisesa	Suspension 	Full/ grave offense/ wrong doing 		3  admonitions		Harmony 	Admonish	Sangha harmony 	Bhikkhus 	Bhikkhu paneva dubbacajātiko hoti uddesapariyāpannesu sikkhāpadesu bhikkhūhi sahadhammikaṃ vuccamāno attānaṃ avacanīyaṃ karoti – ‘Mā maṃ āyasmanto kiñci avacuttha kalyāṇaṃ vā pāpakaṃ vā, ahaṃpāyasmante na kiñci vakkhāmi kalyāṇaṃ vā pāpakaṃ vā, viramathāyasmanto mama vacanāyā’ti, so bhikkhu bhikkhūhi evamassa vacanīyo – ‘Māyasmā attānaṃ avacanīyaṃ akāsi, vacanīyamevāyasmā attānaṃ karotu, āyasmāpi bhikkhū vadetu sahadhammena, bhikkhūpi āyasmantaṃ vakkhanti sahadhammena. Evaṃ saṃvaddhā hi tassa bhagavato parisā yadidaṃ aññamaññavacanena aññamaññavuṭṭhāpanenāti. Evañca so bhikkhuṃ bhikkhūhi vuccamāno tatheva paggaṇheyya, so bhikkhu bhikkhūhi yāvatatiyaṃ samanubhāsitabbo tassa paṭinissaggāya. Yāvatatiyañce samanubhāsīyamāno taṃ paṭinissajjeyya, iccetaṃ kusalaṃ; no ce paṭinissajjeyya, saṅghādiseso”	If a bhikkhu is by nature difficult to admonish and if while being spoken to by bhikkhus concerning the rules in the Patimokkha that he as a bhikkhu should be observing and he makes himself unable to be spoken to by saying: "Venerable Sirs, do not say anything to me whether good or bad and I also will not say anything to you whether good or bad.  Venerable Sirs, refrain from speaking to me." Then that bhikkhu should be spoken to by bhikkhus saying: "Venerable Sir, do not make yourself unable to be spoken to but make yourself able to be spoken to. Speak to bhikkhus according to Dhamma and they will speak to you according to Dhamma and thus the following of the Buddha will increase by speaking to each other and raising each other (from offence)." If while being spoken to by bhikkhus thus that bhikkhu persists with that behaviour then he should be admonished up to three times by bhikkhus in order to cause him to give up that behaviour.  If while being admonished up to three times he gives up that behaviour then that is good, but if he does not give it up then it is a sanghadisesa offence.	if he is not admonished, if he gives it up, if he is mad, if he is a beginner	1. One is being unadmonishable  2. Being admonished in legal Vinaya-kamma  3. Completion of kamma-vàca  4. He does not give up effort and attitude	If a bhikkhu breaks any of the rules of the Vinaya without undergoing the penalties they entail, the other bhikkhus have the duty of admonishing him.   Procedure is to reprimanding him in private, admonishing and rebuking him in a formal meeting of the Community — are the same as under Sg 10.  If the bhikkhu difficult to admonish carries on as before, even after incurring the full penalty under this rule, the Community may perform a banishment transaction 		Motion + 3 proclamation 	Bu Pc 12, 54, 71.   Banishment Cv 1 .13 — see BMC2, Chapter 20	https://suttacentral.net/pli-tv-bu-vb-ss?view=normal
234	BNI-17	Vin.4.223-4.242	Nuns	BU-SS13	Kuladūsaka	Corrupter of Families 	Sanghadisesa	Suspension 	Full/ grave offense/ wrong doing 		3  admonitions		Harmful 	Improper 	Faith foster	Laity  	Bhikkhu paneva aññataraṃ gāmaṃ vā nigamaṃ vā upanissāya viharati kuladūsako pāpasamācāro. Tassa kho pāpakā samācārā dissanti ceva suyyanti ca, kulāni ca tena duṭṭhāni dissanti ceva suyyanti ca. So bhikkhu bhikkhūhi evamassa vacanīyo – ‘Āyasmā kho kuladūsako pāpasamācāro, āyasmato kho pāpakā samācārā dissanti ceva suyyanti ca, kulāni cāyasmatā duṭṭhāni dissanti ceva suyyanti ca. Pakkamatāyasmā imamhā āvāsā. Alaṃ te idha vāsenā’ti. Evañca so bhikkhu bhikkhūhi vuccamāno te bhikkhū evaṃ vadeyya – ‘Chandagāmino ca bhikkhū dosagāmino ca bhikkhū mohagāmino ca bhikkhū bhayagāmino ca bhikkhū tādisikāya āpattiyā ekaccaṃ pabbājenti ekaccaṃ na pabbājentī’ti, so bhikkhu bhikkhūhi evamassa vacanīyo – ‘Māyasmā evaṃ avaca. Na ca bhikkhū chandagāmino. Na ca bhikkhū dosagāmino. Na ca bhikkhū mohagāmino. Na ca bhikkhū bhayagāmino. Āyasmā kho kuladūsako pāpasamācāro. Āyasmato kho pāpakā samācārā dissanti ceva suyyanti ca. Kulāni cāyasmatā duṭṭhāni dissanti ceva suyyanti ca. Pakkamatāyasmā imamhā āvāsā. Alaṃ te idha vāsenā’ti. Evañca so bhikkhu bhikkhūhi vuccamāno tatheva paggaṇheyya, so bhikkhu bhikkhūhi yāvatatiyaṃ samanubhāsitabbo tassa paṭinissaggāya. Yāvatatiyañce samanubhāsīyamāno taṃ paṭinissajjeyya , iccetaṃ kusalaṃ; no ce paṭinissajjeyya, saṅghādiseso	If a bhikkhu living depending on a certain village or town is one who causes families to lose faith and who is of bad behaviour and his bad behaviour is seen and heard about and families that have lost faith are seen and heard about then that bhikkhu should be spoken to by bhikkhus saying: "Venerable Sir, you are one who causes families to lose faith and who is of bad behaviour, your bad behaviour is seen and heard about and families that have lost faith are seen and heard about.  Venerable Sir, leave this monastery as there can be no benefit in your living here." If while being spoken to by bhikkhus thus that bhikkhu should say to them: "The bhikkhus are acting because of desire, acting because of anger, acting because of delusion, acting because of fear; because of behaviour like this they banish some but do not banish others." Then that bhikkhu should be spoken to by bhikkhus saying: "Venerable Sir,do not speak like that for the bhikkhus are not acting because of desire, anger, delusion or fear, but you are one who causes families to lose faith and who is of bad behaviour and your bad behaviour is seen and heard about and families that have lost faith are seen and heard about. Venerable Sir, leave this monastery as there can be no benefit in your living here." If while being spoken to by bhikkhus thus that bhikkhu persists with that accusation then he should be admonished up to three times by bhikkhus in order to cause him to give up that accusation.  If while being admonished up to three times he gives up that accusation then that is good, but if he does not give it up then it is a sanghadisesa offence	if he is not admonished, if he gives it up, if he is mad, if he is a beginner	1. Accusing monks as chandagàmini, dosagàmini, mohagàmini, bhayagàmini  2. Being admonished in legal Vinaya-kamma  3. Completion of kamma-vàca  4. He does not give up effort and attitude	A corrupter of families is a bhikkhu who — behaving in a demeaning, frivolous, or subservient way — succeeds in ingratiating himself to lay people to the point where they withdraw their support from bhikkhus.   bhikkhus can banish him.  		Motion + 3 proclamation 	BMC2, Chapter 10, Cv 5 36.  Banished bhikkhu duties n Cv 1 15 ,  Cv 1 16.1	https://suttacentral.net/pli-tv-bu-vb-ss?view=normal
235	BNI-NP1	Vin.4.243-4.257	Nuns		Pattasannicaya	Collecting Bowls	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 	Exchange	Bowl	Pattavagga	Requisites 	Bowl 	Easy to support 	Laity 	Yā pana bhikkhunī pattasannicayaṁ kareyya, nissaggiyaṁ pācittiyan”ti	If a nun collects almsbowls, she commits an offense entailing relinquishment and confession	if, before dawn, it has been determined, assigned to another, given away, lost, destroyed, broken, stolen, or taken on trust; if she is insane; if she is the first offender		a relinquished almsbowl should be given back. If a nun doesn’t give it back, she commits an offense of wrong conduct.	This almsbowl, which I have kept for more than one day, is to be relinquished. I relinquish it to you.’ After relinquishing it, she is to confess the offense. The confession should be received by that nun. The relinquished bowl is then to be given back: ‘I give this almsbowl back to you.			https://suttacentral.net/pli-tv-bi-vb-np?view=dense
236	BNI-NP2	Vin.4.243-4.257	Nuns		Akālacīvara	Sharing Out-of-Season Robe Cloth	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 	Exchange	Bowl	Pattavagga	Requisites 	Robes	Easy to support 	Laity 	Yā pana bhikkhunī akālacīvaraṁ ‘kālacīvaran’ti adhiṭṭhahitvā bhājāpeyya, nissaggiyaṁ pācittiyan”ti	If a nun determines out-of-season robe-cloth as “in-season”, and then distributes it, she commits an offense entailing relinquishment and confession	 if she distributes out-of-season robe-cloth that she perceives as in-season; if she distributes in-season robe-cloth that she perceives as in-season; if she is insane; if she is the first offender.		Out-of-season robe-cloth: for one who has not participated in the robe-making ceremony, it is robe-cloth given during the eleven months. For one who has participated in the robe-making ceremony, it is robe-cloth given during the seven months. Also, if it is given in the robe season, but the cloth is designated, it is called “out-of-season robe-cloth”.	it’s to be relinquished like this. (To be expanded as in Bi Np 1:2.1.21–Bi Np 1:2.1.43, with appropriate substitutions.) … ‘Venerables, this out-of-season robe-cloth, which I distributed after determining it as “in-season”, is to be relinquished. I relinquish it to the Sangha.’ … the Sangha should give … you should give … ‘I give this robe-cloth back to you.’			https://suttacentral.net/pli-tv-bi-vb-np?view=dense
237	BNI-NP3	Vin.4.243-4.257	Nuns		Cīvaraparivattana	Swapping Robes	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 	Exchange	Bowl	Pattavagga	Requisites 	Robes	Regulate Relationships 	Bhikkhunis 	Yā pana bhikkhunī bhikkhuniyā saddhiṁ cīvaraṁ parivattetvā sā pacchā evaṁ vadeyya—‘handāyye, tuyhaṁ cīvaraṁ āhara, metaṁ cīvaraṁ, yaṁ tuyhaṁ tuyhamevetaṁ, yaṁ mayhaṁ mayhamevetaṁ, āhara metaṁ, sakaṁ paccāharā’ti acchindeyya vā acchindāpeyya vā, nissaggiyaṁ pācittiyan”ti	If a nun trades robes with a nun and then says, “Here’s your robe; give me that robe of mine. That which is yours is yours, and that which is mine is mine. Give me that, and take back what’s yours;” and she just takes it or has it taken, she commits an offense entailing relinquishment and confession	if the other nun gives it back; if she takes it on trust from her; if she is insane; if she is the first offender.			it’s to be relinquished like this. Evañca pana, bhikkhave, nissajjitabbaṁ. (To be expanded as in Bi Np 1:2.1.21–Bi Np 1:2.1.43, with appropriate substitutions.) …pe… … ‘Venerables, this robe-cloth, which I took back after trading it with a nun, is to be relinquished. I relinquish it to the Sangha.’ … “idaṁ me, ayye, cīvaraṁ bhikkhuniyā saddhiṁ parivattetvā acchinnaṁ nissaggiyaṁ, imāhaṁ saṅghassa nissajjāmī”ti …pe… the Sangha should give … dadeyyā”ti …pe… you should give … dadeyyun”ti …pe… ‘I give this robe-cloth back to yo			https://suttacentral.net/pli-tv-bi-vb-np?view=dense
238	BNI-NP4	Vin.4.243-4.257	Nuns		Aññaviññāpana	Asking for Something Else	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 	Exchange	Bowl	Pattavagga	Requisites 	Exchange 	Easy to support 	Laity 	Yā pana bhikkhunī aññaṁ viññāpetvā aññaṁ viññāpeyya, nissaggiyaṁ pācittiyan”ti.	If a nun asks for one thing and then for something else, she commits an offense entailing relinquishment and confession.	if she asks for both at the same time; if she can show a benefit in asking; if she is insane; if she is the first offender			it’s to be relinquished like this. (To be expanded as in Bi Np 1:2.1.21–Bi Np 1:2.1.43, with appropriate substitutions.)  … ‘Venerables, this thing, which I asked for after asking for something else, is to be relinquished. I relinquish it to the Sangha.’ … the Sangha should give … you should give … ‘I give this back to you			https://suttacentral.net/pli-tv-bi-vb-np?view=dense
239	BNI-NP5	Vin.4.243-4.257	Nuns		Aññacetāpana	Exchanging for Something Else	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 	Exchange	Bowl	Pattavagga	Requisites 	Exchange 	Easy to support 	Laity 	Yā pana bhikkhunī aññaṁ cetāpetvā aññaṁ cetāpeyya, nissaggiyaṁ pācittiyan”ti.	If a nun gets one thing in exchange and then something else, she commits an offense entailing relinquishment and confession.	if she gets both in exchange at the same time; if she can show a benefit in doing the exchange; if she is insane; if she is the first offender.			it’s to be relinquished like this. Evañca pana, bhikkhave, nissajjitabbaṁ. (To be expanded as in Bi Np 1:2.1.21–Bi Np 1:2.1.43, with appropriate substitutions.) …pe… … ‘Venerables, this thing, which I got in exchange, having first gotten something else in exchange, is to be relinquished. I relinquish it to the Sangha.’ … “idaṁ me, ayye, aññaṁ cetāpetvā aññaṁ cetāpitaṁ nissaggiyaṁ, imāhaṁ saṅghassa nissajjāmī”ti …pe… the Sangha should give … dadeyyāti …pe… you should give … dadeyyunti …pe… ‘I give this back to you			https://suttacentral.net/pli-tv-bi-vb-np?view=dense
240	BNI-NP6	Vin.4.243-4.257	Nuns		Saṁghikacetapana	Exchanging Saṅgha Property	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 	Exchange	Bowl	Pattavagga	Requisites 	Exchange 	Easy to support 	Laity 	Yā pana bhikkhunī aññadatthikena parikkhārena aññuddisikena saṅghikena aññaṁ cetāpeyya, nissaggiyaṁ pācittiyan”ti	When a requisite belonging to the Sangha is designated for a specific purpose, if a nun exchanges it for something else, she commits an offense entailing relinquishment and confession.	if she uses the remainder; if she uses it after getting permission from the owners; if there is an emergency; if she is insane; if she is the first offender.	Belonging to the Sangha, not to a group, not to an individual nun. Exchanges it for something else: if, apart from the purpose for which it was given, she exchanges it for something else, then for the effort there is an act of wrong conduct. When she gets it, it becomes subject to relinquishment.		 relinquished like this. (To be expanded as in Bi Np 1:2.1.21–Bi Np 1:2.1.43, with appropriate substitutions.)  ‘Venerables, this thing, which I got in exchange for a requisite belonging to the Sangha that was designated for a specific purpose, is to be relinquished. I relinquish it to the Sangha.’ … the Sangha should give … you should give … ‘I give this back to you			https://suttacentral.net/pli-tv-bi-vb-np?view=dense
241	BNI-NP7	Vin.4.243-4.257	Nuns		Dutiyasaṁghikacetāpana	Exchanging Saṅgha Property 2nd	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 	Exchange	Bowl	Pattavagga	Requisites 	Exchange 	Easy to support 	Laity 	Yā pana bhikkhunī aññadatthikena parikkhārena aññuddisikena saṅghikena saññācikena aññaṁ cetāpeyya, nissaggiyaṁ pācittiyan”ti	When a requisite belonging to the Sangha is designated for a specific purpose and was asked for, if a nun exchanges it for something else, she commits an offense entailing relinquishment and confession	 if she uses the remainder; if she uses it after getting permission from the owners; if there is an emergency; if she is insane; if she is the first offender.	Belonging to the Sangha, not to a group, not to an individual nun. Exchanges it for something else: if, apart from the purpose for which it was given, she exchanges it for something else, then for the effort there is an act of wrong conduct. When she gets it, it becomes subject to relinquishment.		 relinquished like this. (To be expanded as in Bi Np 1:2.1.21–Bi Np 1:2.1.43, with appropriate substitutions.)  ‘Venerables, this thing, which I got in exchange for a requisite belonging to the Sangha that was designated for a specific purpose, is to be relinquished. I relinquish it to the Sangha.’ … the Sangha should give … you should give … ‘I give this back to you			https://suttacentral.net/pli-tv-bi-vb-np?view=dense
